accid,canonical,taxonRank,status,authorship,id,group
0,Acanthognathus_brevicornis,species,accepted,"Smith, 1944",430206,ants
0,Acanthognathus_laevigatus,species,accepted,"Galvis & Fernandez, 2009",430207,ants
0,Acanthognathus_lentus,species,accepted,"Mann, 1922",430208,ants
0,Acanthognathus_ocellatus,species,accepted,"Mayr, 1887",430209,ants
0,Acanthognathus_rudis,species,accepted,"Brown & Kempf, 1969",430211,ants
0,Acanthognathus_stipulosus,species,accepted,"Brown & Kempf, 1969",430212,ants
0,Acanthognathus_teledectus,species,accepted,"Brown & Kempf, 1969",430213,ants
0,Acanthomyrmex_basispinosus,species,accepted,"Moffett, 1986",430214,ants
0,Acanthomyrmex_careoscrobis,species,accepted,"Moffett, 1986",430215,ants
0,Acanthomyrmex_concavus,species,accepted,"Moffett, 1986",430216,ants
0,Acanthomyrmex_crassispinus,species,accepted,"Wheeler, 1930",430217,ants
0,Acanthomyrmex_dusun,species,accepted,"Wheeler, 1919",430218,ants
0,Acanthomyrmex_ferox,species,accepted,"Emery, 1893",430220,ants
0,Acanthomyrmex_foveolatus,species,accepted,"Moffett, 1986",430221,ants
0,Acanthomyrmex_glabfemoralis,species,accepted,"Zhou & Zheng, 1997",430222,ants
0,Acanthomyrmex_humilis,species,accepted,"Eguchi et al., 2008",430223,ants
0,Acanthomyrmex_laevis,species,accepted,"Moffett, 1986",430224,ants
0,Acanthomyrmex_luciolae,species,accepted,"Emery, 1893",430225,ants
0,Acanthomyrmex_mindanao,species,accepted,"Moffett, 1986",430226,ants
0,Acanthomyrmex_minus,species,accepted,"Terayama et al., 1998",430227,ants
0,Acanthomyrmex_notabilis,species,accepted,"(Smith, 1860)",430228,ants
0,Acanthomyrmex_padanensis,species,accepted,"Terayama et al., 1998",430229,ants
0,Acanthomyrmex_sulawesiensis,species,accepted,"Terayama et al., 1998",430230,ants
0,Acanthomyrmex_thailandensis,species,accepted,"Terayama, 1995",430231,ants
0,Acanthoponera_goeldii,species,accepted,"Forel, 1912",430233,ants
0,Acanthoponera_minor,species,accepted,"(Forel, 1899)",430235,ants
0,Acanthoponera_mucronata,species,accepted,"(Roger, 1860)",430236,ants
0,Acanthoponera_peruviana,species,accepted,"Brown, 1958",430237,ants
0,Acanthostichus_arizonensis,species,accepted,"MacKay, 1996",430242,ants
0,Acanthostichus_bentoni,species,accepted,"MacKay, 1996",430243,ants
0,Acanthostichus_brevicornis,species,accepted,"Emery, 1894",430244,ants
0,Acanthostichus_brevinodis,species,accepted,"MacKay, 1996",430245,ants
0,Acanthostichus_concavinodis,species,accepted,"MacKay, 1996",430246,ants
0,Acanthostichus_emmae,species,accepted,"MacKay, 1996",430247,ants
0,Acanthostichus_femoralis,species,accepted,"Kusnezov, 1962",430248,ants
0,Acanthostichus_flexuosus,species,accepted,"MacKay, 1996",430249,ants
0,Acanthostichus_fuscipennis,species,accepted,"Emery, 1895",430250,ants
0,Acanthostichus_kirbyi,species,accepted,"Emery, 1895",430252,ants
0,Acanthostichus_laevigatus,species,accepted,"MacKay, 1996",430253,ants
0,Acanthostichus_laticornis,species,accepted,"Forel, 1908",430254,ants
0,Acanthostichus_lattkei,species,accepted,"MacKay, 1996",430255,ants
0,Acanthostichus_longinodis,species,accepted,"Mackay, 2004",430256,ants
0,Acanthostichus_punctiscapus,species,accepted,"MacKay, 1996",430259,ants
0,Acanthostichus_quadratus,species,accepted,"Emery, 1895",430260,ants
0,Acanthostichus_quirozi,species,accepted,"MacKay, 1996",430261,ants
0,Acanthostichus_sanchezorum,species,accepted,"MacKay, 1985",430263,ants
0,Acanthostichus_serratulus,species,accepted,"(Smith, 1858)",430264,ants
0,Acanthostichus_skwarrae,species,accepted,"Wheeler, 1934",430265,ants
0,Acanthostichus_texanus,species,accepted,"Forel, 1904",430266,ants
0,Acanthostichus_truncatus,species,accepted,"MacKay, 1996",430268,ants
0,Acromyrmex_hystrix_ajax,species,accepted,"(Forel, 1909)",430270,ants
0,Acromyrmex_ambiguus,species,accepted,"(Emery, 1888)",430271,ants
0,Acromyrmex_ameliae,species,accepted,"De Souza et al., 2007",430272,ants
0,Acromyrmex_coronatus_andicola,species,accepted,"Emery, 1924",430273,ants
0,Acromyrmex_aspersus,species,accepted,"(Smith, 1858)",430275,ants
0,Acromyrmex_balzani,species,accepted,"(Emery, 1890)",430277,ants
0,Acromyrmex_biscutatus,species,accepted,"(Fabricius, 1775)",430279,ants
0,Acromyrmex_lundii_boliviensis,species,accepted,"(Emery, 1905)",430280,ants
0,Acromyrmex_silvestrii_bruchi,species,accepted,"(Forel, 1912)",430282,ants
0,Acromyrmex_lundii_carli,species,accepted,"Goncalves, 1961",430285,ants
0,Acromyrmex_lobicornis_cochlearis,species,accepted,"Santschi, 1933",430290,ants
0,Acromyrmex_coronatus,species,accepted,"(Fabricius, 1804)",430292,ants
0,Acromyrmex_crassispinus,species,accepted,"(Forel, 1909)",430293,ants
0,Acromyrmex_octospinosus_cubanus,species,accepted,"Wheeler, 1937",430294,ants
0,Acromyrmex_lundii_decolor,species,accepted,"(Emery, 1905)",430295,ants
0,Acromyrmex_diasi,species,accepted,"Goncalves, 1983",430298,ants
0,Acromyrmex_disciger,species,accepted,"(Mayr, 1887)",430300,ants
0,Acromyrmex_echinatior,species,accepted,"(Forel, 1899)",430302,ants
0,Acromyrmex_octospinosus_ekchuah,species,accepted,"Wheeler, 1937",430304,ants
0,Acromyrmex_evenkul,species,accepted,"Bolton, 1995",430307,ants
0,Acromyrmex_hispidus_fallax,species,accepted,"Santschi, 1925",430308,ants
0,Acromyrmex_lobicornis_ferrugineus,species,accepted,"(Emery, 1905)",430309,ants
0,Acromyrmex_hispidus_formosus,species,accepted,"Santschi, 1925",430311,ants
0,Acromyrmex_fracticornis,species,accepted,"(Forel, 1909)",430312,ants
0,Acromyrmex_coronatus_globoculis,species,accepted,"Weber, 1946",430318,ants
0,Acromyrmex_heyeri,species,accepted,"(Forel, 1899)",430320,ants
0,Acromyrmex_hispidus,species,accepted,"Santschi, 1925",430321,ants
0,Acromyrmex_hystrix,species,accepted,"(Latreille, 1802)",430324,ants
0,Acromyrmex_coronatus_importunus,species,accepted,"Santschi, 1925",430325,ants
0,Acromyrmex_insinuator,species,accepted,"Schultz et al., 1998",430327,ants
0,Acromyrmex_octospinosus_inti,species,accepted,"Wheeler, 1937",430329,ants
