"","Species","Genus","Subspecies","ValidBinomial","Year"
"2","nicippe","Abaeis",NA,"Abaeis nicippe",1779
"22","nicippiformis","Abaeis",NA,"Abaeis nicippiformis",1947
"26","abana","Abananote",NA,"Abananote abana",1868
"28","abana","Abananote","capnodes","Abananote abana",1913
"30","erinome","Abananote",NA,"Abananote erinome",1861
"36","erinome","Abananote","mathani","Abananote erinome",1917
"37","erinome","Abananote","testacea","Abananote erinome",1868
"38","euryleuca","Abananote",NA,"Abananote euryleuca",1910
"39","hylonome","Abananote",NA,"Abananote hylonome",1844
"44","hylonome","Abananote","basilia","Abananote hylonome",1995
"45","intensa","Abananote",NA,"Abananote intensa",1910
"47","intensa","Abananote","gerardolamas","Abananote intensa",2007
"49","arctomarginata","Abantis",NA,"Abantis arctomarginata",1901
"60","bamptoni","Abantis",NA,"Abantis bamptoni",1994
"72","bergeri","Abantis",NA,"Abantis bergeri",2009
"74","bicolor","Abantis",NA,"Abantis bicolor",1864
"78","bismarcki","Abantis",NA,"Abantis bismarcki",1892
"108","contigua","Abantis",NA,"Abantis contigua",1937
"124","efulensis","Abantis",NA,"Abantis efulensis",1896
"131","elegantula","Abantis",NA,"Abantis elegantula",1890
"156","eltringhami","Abantis",NA,"Abantis eltringhami",1932
"162","iruma","Abantis",NA,"Abantis iruma",1951
"164","ituri","Abantis",NA,"Abantis ituri",2014
"166","ja","Abantis",NA,"Abantis ja",1909
"178","ja","Abantis","usheri","Abantis ja",2008
"179","leucogaster","Abantis",NA,"Abantis leucogaster",1890
"205","leucogaster","Abantis","rotundala","Abantis leucogaster",2014
"207","lucretia","Abantis",NA,"Abantis lucretia",1909
"229","lucretia","Abantis","etoumbiensis","Abantis lucretia",1971
"230","lucretia","Abantis","lofu","Abantis lucretia",1910
"233","meneliki","Abantis",NA,"Abantis meneliki",1979
"238","meru","Abantis",NA,"Abantis meru",1947
"243","nigeriana","Abantis",NA,"Abantis nigeriana",1901
"265","nigeriana","Abantis","rougeoti","Abantis nigeriana",1960
