"id","accid","canonical","order","family","genus","species","subspecies","group","authorship","year"
20515,4723,"Rhinolophus minor","Chiroptera","Rhinolophidae","Rhinolophus","minor",NA,"mammals","Kerr 179299",179299
19753,1044,"Norops quaggulus","Squamata","Dactyloidae","Norops","quaggulus",NA,"reptiles","— Nicholson Et Al. 20146",20146
43083,4363,"Testudo pulchella","Testudines","Emydidae","Testudo","pulchella",NA,"reptiles","Schoepff 180x",180
46630,4818,"Gehyra marginata","Squamata","Gekkonidae","Gehyra","marginata",NA,"reptiles","— Oudemans 1894134",1894134
51286,5573,"Geoemyda spinosa","Testudines","Geoemydidae","Geoemyda","spinosa",NA,"reptiles","Hardwicke & Gray: Plate 2",2
60046,6694,"Liolaemus tari","Squamata","Liolaemidae","Liolaemus","tari",NA,"reptiles","— Andreone & Gavetti 201",201
76444,8781,"Platyplectrurus trilineatus","Squamata","Uropeltidae","Platyplectrurus","trilineatus",NA,"reptiles","— Boulenger 18",18
76486,8787,"Platysaurus intermedius natalensis","Squamata","Cordylidae","Platysaurus","intermedius","natalensis","reptiles","— Stanley Et Al. 201",201
76501,8787,"Platysaurus intermedius rhodesianus","Squamata","Cordylidae","Platysaurus","intermedius","rhodesianus","reptiles","— Conradie Et Al. 201",201
104030,9837,"Selvasaura brava","Squamata","Gymnophthalmidae","Selvasaura","brava",NA,"reptiles","Moravec, Šmid, Štundl & Lehr 201",201
106561,246,"Afroedura bogerti","Squamata","Gekkonidae","Afroedura","bogerti",NA,"reptiles","(Clade 2) – Branch Et Al. 2017: 146",2
106980,3396,"Cyrtodactylus hantu","Squamata","Gekkonidae","Cyrtodactylus","hantu",NA,"reptiles","Davis, Das, Leaché, Karin, Brennan, Jackman, Nashriq, Chan & Bauer 20121",20121
106981,3466,"Cyrtodactylus miriensis","Squamata","Gekkonidae","Cyrtodactylus","miriensis",NA,"reptiles","Davis, Das, Leaché, Karin, Brennan, Jackman, Nashriq, Chan & Bauer 20121",20121
122094,8706,"Phymaturus maulense","Squamata","Liolaemidae","Phymaturus","maulense",NA,"reptiles","Núñez, Veloso, Espejo, Veloso, Cortes & Araya, 201",201
123991,6374,"Lerista timida","Squamata","Scincidae","Lerista","timida",NA,"reptiles","(De Vis, 18886)",18886
