"group","nbr_spp_gbif","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","5146","35.58","64.25","66.35","15.67"
"mammals","14793","23.48","80.86","85.2","56.99"
"crabs","8051","44.59","77.03","78.13","13.04"
"reptiles","13482","25.45","76.85","81.8","29.09"
"ants","11089","40.13","67.47","71.68","7.69"
"butterflies","12615","22.84","56.68","61.49","7.41"
"birds","11992","30.92","90.54","97.22","7.3"
"amphibians","7121","41.18","74.52","78.45","8.68"
"bees","0","0","0","0","NaN"
"conifers","916","14.38","92.08","93.98","27.8"
"cacti","1602","11.76","66.26","73.82","6.37"
"daisies","33429","26.52","74.92","78.47","7.32"
"palms","2292","27.62","79.72","80.6","5"
