"group","prop_tot","prop_acc","prop_acc_syn","prop_acc_syn_ass"
"dragonflies","46.26","90.53","91.05","65.91"
"mammals","20.21","84.62","89.02","77.36"
"crabs","0.01","0.02","0.02","0.02"
"reptiles","20.79","75.01","80.92","70.54"
"ants","0.52","0.69","0.94","0.94"
"butterflies","2.21","6.26","6.9","6.63"
"birds","21.19","90.96","97.16","96.75"
"amphibians","31.67","80.35","84.83","72.27"
"bees","0.93","2.2","2.31","0.89"
"conifers","8.94","85.55","88.19","87.22"
"cacti","8.85","60.15","69.07","64.25"
"daisies","1.51","4.7","5.3","5.06"
"palms","10.04","29.98","31","28.4"
