"group","nbr_spp","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","6279","47.77","83.11","87.61","3.88","19.37"
"mammals","6848","18.13","63.07","66.8","16.56","22.75"
"crabs","11723","55.85","93.29","95.47","21.61","12.34"
"reptiles","475","0.37","1.32","1.34","46.59","29.53"
"ants","14048","48.07","70.36","77.7","5.89","43.53"
"butterflies","62573","43.25","71.03","81.82","56.52","2.61"
"birds","16905","20.95","82.25","91.64","35.95","3.17"
"amphibians","8588","35.77","79.78","86.64","4.21","29.97"
"conifers","420","3.68","32.21","32.5","36.6","8.5"
"cacti","1950","10.85","63.47","75.41","7.03","4.83"
"daisies","34881","22.17","62.51","66.58","24.09","3.28"
"palms","2764","31.41","92.88","94.37","5.41","5.37"
