"","ants","butterflies","crabs","dragonflies","mammals","birds","reptiles","amphibians","daisies"
"completeness_2dec","26"," 9","22","17","11",NA,"24",NA," 0"
"COL_to_MOL","54.46","35.07","66.54","87.60","89.33","95.40","99.79","95.26","86.65"
"COL_no_match"," 5.72","15.52"," 1.04"," 2.84"," 2.31"," 0.71"," 1.10"," 0.73","11.58"
"NCBI_to_MOL","22.73","32.93","29.97","30.97","76.84","87.45","72.91","72.36","39.46"
"NCBI_no_match"," 0.86","14.77"," 1.87"," 0.96","15.74"," 4.75"," 1.67"," 2.61"," 4.51"
"TREE_to_MOL","67.38","63.63","89.58","87.61","66.94","91.65"," 1.34","86.71","66.06"
"TREE_no_match"," 4.10","35.03","12.25"," 3.88","16.25","35.38","46.59"," 3.98","24.04"
"GBIF_to_MOL","64.09","33.31","66.87","66.35","85.22","97.22","81.80","78.51","77.20"
"IUCN_to_MOL"," 0.80"," 3.46","10.71","91.05","89.34","97.19","81.08","85.14"," 4.64"
"IUCN_assessed"," 0.80"," 3.33"," 6.07","65.91","77.69","96.78","70.70","72.59"," 4.64"
"GRIIS_no_match"," 0.41"," 1.75","10.19"," 0.00"," 0.33"," 0.17"," 0.64"," 0.40"," 1.40"
