"","ants","butterflies","crabs","dragonflies","mammals","birds","reptiles","amphibians","daisies"
"completeness_2dec","26"," 9","22","17","11",NA,"24",NA," 0"
"score_COMPLETENESS","0","2","0","1","1","NA","0","NA","NA*"
"COL_no_match"," 5.72","15.52"," 1.04"," 2.84"," 2.31"," 0.71"," 1.10"," 0.73","11.58"
"score_COL_no_match","2","1","3*","3","3","3","3","3","1"
"NCBI_no_match"," 0.86","14.77"," 1.87"," 0.96","15.74"," 4.75"," 1.67"," 2.61"," 4.51"
"score_NCBI_no_match","3","1","3","3","1","3","3","3","3"
"TREE_no_match"," 4.10","35.03","12.25"," 3.88","16.25","35.38","46.59"," 3.98","24.04"
"score_TREE_no_match","3","0","1","3","NA*","0","0*","3","0"
"GBIF_no_match"," 1.92"," 2.44"," 9.05","15.63","56.72"," 6.67","28.97"," 8.51"," 7.65"
"score_GBIF_no_match","3","3","2","1","0","2","0","2","2"
"GBIF_no_match_noharm"," 4.38"," 2.44"," 9.05","16.75","56.91"," 6.71","29.09"," 8.55"," 7.65"
"score_GBIF_no_match_noharm","3","3","2","1","0","2","0","2","2"
"GRIIS_no_match"," 0.41"," 1.75","10.19"," 0.00"," 0.33"," 0.17"," 0.64"," 0.40"," 1.40"
"score_GRIIS","3","3","1","3","3","3","3","3","3"
"IUCN_no_match","8.72","2.39","6.74","0.07","0.62","0.07","0.10","0.49","2.00"
"score_IUCN_no_match","2","3","2","3","3","3","3","3","3"
"IUCN_no_match_noharm","8.72","2.39","6.74","0.16","1.36","3.67","0.38","0.65","2.00"
"score_IUCN_no_match_noharm","2","3","2","3","3","3","3","3","3"
