"species","species_uni","subspecies","subspecies_uni","syn_spp","syn_spp_uni","group"
"13860","13856","0","0","12566","12424","ants"
"19309","19291","3","1","41465","41432","butterflies"
"6533","6533","0","0","69694","28844","mammals"
"8931","8931","0","0","7305","7060","crabs"
"6322","6322","0","0","6204","6193","dragonflies"
"11570","11570","0","0","145599","43386","reptiles"
"10824","10824","0","0","161077","50717","birds"
"8340","8340","0","0","52932","22253","amphibians"
"20507","20479","0","0","30305","29577","bees"
"38600","38598","0","0","155262","110675","daisies"
"2682","2682","0","0","7074","6312","palms"
"2078","2078","0","0","20297","15471","cacti"
"609","609","0","0","7339","5832","conifers"
